id,criteria,ADMIN,STAFF,NAAC_COD,DEPT_COD,TEACHER,CLUB,OTHER,assigned_clubs,ordering,cr_index,is_active,is_enabled
73,c4_1_4,f,f,t,f,f,t,f,"{'"OFFICE'": '"True'", '"ADMINISTRATOR'": '"True'"}",414,4,t,t
74,c4_2_1,f,f,f,f,f,t,f,"{'"LIBRARY'": '"True'", '"ADMINISTRATOR'": '"True'"}",421,4,t,t
75,c4_2_2,f,f,f,f,f,t,f,"{'"LIBRARY'": '"True'"}",422,4,t,t
76,c4_2_3,f,f,f,f,f,t,f,"{'"LIBRARY'": '"True'"}",423,4,t,t
77,c4_2_4,f,f,f,f,f,t,f,"{'"LIBRARY'": '"True'"}",424,4,t,t
78,c4_2_5,f,f,f,f,f,t,f,"{'"LIBRARY'": '"True'"}",425,4,t,t
79,c4_2_6,f,f,f,f,f,t,f,"{'"LIBRARY'": '"True'"}",426,4,t,t
80,c4_3_1,f,f,f,f,f,t,f,"{'"DIRECTOR'": '"True'"}",431,4,t,t
81,c4_3_2,f,f,f,f,f,t,f,"{'"DIRECTOR'": '"True'"}",433,4,t,t
82,c4_3_3,f,f,f,f,f,t,f,"{'"DIRECTOR'": '"True'"}",433,4,t,t
83,c4_3_4,f,f,f,f,f,t,f,"{'"DIRECTOR'": '"True'"}",434,4,t,t
84,c4_4_1,f,f,f,f,f,t,f,"{'"ADMINISTRATOR'": '"True'"}",441,4,t,t
85,c4_4_2,f,f,f,f,f,t,f,"{'"ADMINISTRATOR'": '"True'"}",442,4,t,t
86,c5_1_1,f,f,t,f,f,f,f,{},511,5,t,t
87,c5_1_2,f,f,t,f,f,f,f,{},512,5,t,t
88,c5_1_3,f,f,t,t,f,f,f,{},513,5,t,f
89,c5_1_3A,f,f,t,t,f,f,f,{},513.1,5,t,t
90,c5_1_3B,f,f,t,t,f,f,f,{},513.2,5,t,t
91,c5_1_3C,f,f,t,t,f,f,f,{},513.3,5,t,t
92,c5_1_3D,f,f,t,t,f,f,f,{},513.4,5,t,t
93,c5_1_3E,f,f,t,t,f,f,f,{},513.5,5,t,t
94,c5_1_3F,f,f,t,t,f,f,f,{},513.6,5,t,t
95,c5_1_3G,f,f,t,t,f,f,f,{},513.7,5,t,t
96,c5_1_3H,f,f,t,t,f,f,f,{},513.8,5,t,t
97,c5_1_4,f,f,f,t,f,f,f,"{'"CURRIER_GUIDENCE'": '"True'"}",514,5,t,t
98,c5_1_5,f,f,t,t,f,f,f,{},515,5,t,t
99,c5_1_6,f,f,f,t,f,t,f,"{'"CELL'": '"True'"}",516,5,t,t
100,c5_2_1,f,f,f,t,f,t,f,"{'"PLACEMENT'": '"True'"}",521,5,t,t
101,c5_2_2,f,f,f,t,f,f,f,{},522,5,t,t
102,c5_2_3,f,f,f,f,f,f,f,{},523,5,t,t
103,c5_3_1,f,f,f,t,f,t,f,"{'"BZONE'": '"True'"}",531,5,t,t
104,c5_3_2,f,f,f,f,f,f,f,{},532,5,t,t
105,c5_3_2A,f,f,t,f,f,t,f,"{'"FORUMS'": '"True'", '"STUDENT_ADVISOR'": '"True'"}",532.1,5,t,t
